MAC AP,Input Octects
04-18-D6-C2-0A-F7:UM,2108046950522.0
04-18-D6-21-38-E1:UM,545975046277.0
04-18-D6-C1-0A-F7:UM,434224105120.0
04-18-D6-22-38-E1:UM,425717524497.0
04-18-D6-22-8D-DF:UM,408734972324.0
04-18-D6-C2-09-FC:UM,331005309336.0
DC-9F-DB-12-F4-75:UM,175639135218.0
04-18-D6-22-9B-4C:UM,157854634074.0
DC-9F-DB-12-F4-A9:UM,148093346420.0
04-18-D6-22-94-E7:UM,138827436569.0
04-18-D6-C2-0B-08:UM,130169603171.0
04-18-D6-22-8E-6D:UM,121275616420.0
DC-9F-DB-12-F3-EA:UM,79852660808.0
04-18-D6-82-C5-46:UM,77402019893.0
04-18-D6-21-8D-DF:UM,73461013965.0
04-18-D6-21-9B-4C:UM,26609918829.0
04-18-D6-81-C5-46:UM,17933734378.0
04-18-D6-C1-0B-08:UM,9553182377.0
04-18-D6-21-8E-6D:UM,5639785969.0
04-18-D6-21-94-E7:UM,4430856646.0
04-18-D6-C1-09-FC:UM,12053354.0
