MAC AP,Output Octects
04-18-D6-C2-0A-F7:UM,2134138013514.0
04-18-D6-21-38-E1:UM,546688220389.0
04-18-D6-C1-0A-F7:UM,436454794936.0
04-18-D6-22-38-E1:UM,427013874125.0
04-18-D6-22-8D-DF:UM,415121898764.0
04-18-D6-C2-09-FC:UM,332367102123.0
DC-9F-DB-12-F4-75:UM,273607577531.0
DC-9F-DB-12-F4-A9:UM,186947672527.0
DC-9F-DB-12-F3-EA:UM,169432033050.0
04-18-D6-22-9B-4C:UM,162954163792.0
04-18-D6-22-94-E7:UM,144432180342.0
04-18-D6-C2-0B-08:UM,134036416721.0
04-18-D6-22-8E-6D:UM,125629862443.0
04-18-D6-82-C5-46:UM,77803264302.0
04-18-D6-21-8D-DF:UM,75145347137.0
04-18-D6-21-9B-4C:UM,29293392431.0
04-18-D6-81-C5-46:UM,17763693484.0
04-18-D6-C1-0B-08:UM,16114211501.0
04-18-D6-21-8E-6D:UM,5577360391.0
04-18-D6-21-94-E7:UM,5342866111.0
04-18-D6-C1-09-FC:UM,152458021.0
